ticker,company_name,cik,sector,quarter_end_date,fiscal_year,fiscal_quarter,revenue,net_income,total_assets,total_liabilities,stockholders_equity,shares_outstanding,close_price_asof,cpi_level,cpi_yoy,unemployment_rate,book_value_per_share,earnings_per_share,market_cap,roe,roa,debt_to_assets,profit_margin,price_to_book,price_to_earnings,pb_quarter_median,valuation_label
PG,Procter & Gamble Co,80424,Consumer,2021-06-30,2021,Q2,76118000000.0,14306000000.0,119307000000.0,72653000000.0,46654000000.0,2448232786.0,130.027,271.696,5.391451413321335,5.9,19.05619443820323,5.843398586036255,318336364465.222,0.30664037381575,0.1199091419614943,0.6089584014349535,0.18794503271236765,6.823345575196595,22.25194774676513,5.3275210694343125,1
PG,Procter & Gamble Co,80424,Consumer,2021-09-30,2021,Q3,20338000000.0,4112000000.0,119669000000.0,73261000000.0,46408000000.0,2419947819.0,135.572,274.31,5.390348855079163,4.7,19.177273012100432,1.6992101927632515,328077165717.468,0.08860541285985175,0.034361446991284295,0.6121969766606222,0.20218310551676663,7.069409707754438,79.78530294685505,5.356488849415659,1
PG,Procter & Gamble Co,80424,Consumer,2021-12-31,2021,Q4,20953000000.0,4223000000.0,121416000000.0,76523000000.0,44893000000.0,2397065706.0,159.613,278.802,7.036402865545144,3.9,18.728314325147664,1.7617372729623457,382602848531.778,0.09406811752389013,0.0347812479409633,0.6302546616590894,0.20154631794969693,8.522550253531241,90.59977469376699,6.068687512555233,1
PG,Procter & Gamble Co,80424,Consumer,2022-03-31,2022,Q1,19381000000.0,3355000000.0,120217000000.0,74471000000.0,45746000000.0,2399296841.0,149.906,287.504,8.542455554842432,3.7,19.06641946851961,1.3983263523998446,359668992246.946,0.07333974555152363,0.027907866607884076,0.6194714557841237,0.1731076827821062,7.86230473149447,107.2038725028155,5.748991667128938,1
PG,Procter & Gamble Co,80424,Consumer,2022-06-30,2022,Q2,80187000000.0,14742000000.0,117208000000.0,70354000000.0,46854000000.0,2399296841.0,141.856,296.311,9.059757964784154,3.6,19.52822143527342,6.144300174986143,340354652676.896,0.3146369573568959,0.12577639751552794,0.6002491297522353,0.18384526170077445,7.264153597918982,23.08741369399647,4.975265847338239,1
PG,Procter & Gamble Co,80424,Consumer,2022-09-30,2022,Q3,20612000000.0,3939000000.0,116282000000.0,71948000000.0,44334000000.0,2369696862.0,125.36,296.808,8.20166964383362,3.5,18.708722077887447,1.6622379272070793,297065198620.32,0.08884828799566924,0.03387454636143169,0.6187372078223629,0.191102270522026,6.700618004698876,75.41639975128713,4.616246946307841,1
PG,Procter & Gamble Co,80424,Consumer,2022-12-31,2022,Q4,20773000000.0,3933000000.0,117715000000.0,72990000000.0,44725000000.0,2359144096.0,151.56,296.797,6.45440133141082,3.5,18.95814676001885,1.6671300437597347,357551879189.76,0.08793739519284516,0.0334112050290957,0.6200569171303573,0.1893323063592163,7.994452301615652,90.91072443167049,5.217984107747642,1
PG,Procter & Gamble Co,80424,Consumer,2023-03-31,2023,Q1,20068000000.0,3397000000.0,119851000000.0,74430000000.0,45421000000.0,2356969322.0,148.69,301.836,4.984974122099173,3.5,19.27093389635557,1.441257621935225,350457768488.18,0.07478919442548601,0.028343526545460615,0.6210211012006575,0.16927446681283637,7.715765141414323,103.1668438293141,5.255772836896516,1
PG,Procter & Gamble Co,80424,Consumer,2023-06-30,2023,Q2,82006000000.0,14653000000.0,120829000000.0,73764000000.0,47065000000.0,2356969322.0,151.74,305.109,2.969177654558885,3.6,19.968439792870583,6.216881935300811,357646524920.28,0.31133538723042603,0.12127055590959124,0.6104825828236599,0.17868204765504964,7.598991286949539,24.407733905703953,5.089275487695701,1
PG,Procter & Gamble Co,80424,Consumer,2023-09-30,2023,Q3,21871000000.0,4521000000.0,122531000000.0,74517000000.0,48014000000.0,2356886211.0,145.86,307.789,3.69969812134443,3.7,20.37179384219326,1.9182088549288898,343775422736.46,0.09416003665597535,0.036896785303310996,0.6081481421028148,0.2067120844954506,7.159899669605949,76.03968651547446,5.150680337298695,1
